Timestamp,Age_Group,Gender,Current_Role,Industry,HR_Experience_Years,AI_Implemented_in_HR,Types_of_AI_in_HR,AI_Integration_Level_in_HR,AI_Benefits_in_HR,AI_Challenges_in_HR,AI_Tools_in_Recruitment,Types_of_AI_in_Recruitment,AI_Tools_Effectiveness_in_Recruitment,Benefits_of_AI_in_Recruitment,AI_Tools_in_Performance_Management,Types_of_AI_in_Performance_Management,AI_Tools_Effectiveness_in_Performance_Management,Benefits_of_AI_in_Performance_Management,Recommendations_for_AI_HR_Practices,Satisfaction_with_AI_in_HR,Improvements_for_AI_in_HR,Unnamed1,Unnamed2,Unnamed3,Unnamed4,Unnamed5,Unnamed6,Unnamed7
01/06/2024 07:09:39,35-44,Female,HR manager,Manufacturing,1-2 years,No,,,"Improved accuracy, Enhanced employee experience",,No,interview scheduling,neutral,reduced bias,Yes,automated feedback and coaching,somewhat effective,enhanced manager-employee relationships,7.0,neutral,more advanced analytics,,,,,,,
01/06/2024 07:10:08,45-54,Prefer not to say,Recruitment specialist,Textiles,5-10 years,Yes,machine learning,neutral,better decision making,data privacy concerns,Yes,interview scheduling,somewhat effective,improved candidate  quality,Yes,automated feedback and coaching,neutral,increased transparency,6.0,somewhat satisfied,,,,,,,,
01/06/2024 07:10:40,35-44,Female,HR generalist,Electronics,2-5 years,Yes,machine learning,neutral,Increased efficiency,data privacy concerns,Yes,candidate matching,somewhat effective,improved candidate  quality,Yes,automated feedback and coaching,neutral,enhanced manager-employee relationships,4.0,somewhat satisfied,more advanced analytics,,,,,,,
01/06/2024 07:10:48,35-44,male,HR generalist,Textiles,1-2 years,No,,,,,No,,,,No,,,,,,,,,,,,,
01/06/2024 07:13:12,,male,Recruitment specialist,Automotive,more than 10 years,No,natural language processing,somewhat low,Enhanced employee experience,data privacy concerns,No,,,,No,,,,1.0,,,,,,,,,
01/06/2024 07:15:08,35-44,male,HR generalist,Electronics,more than 10 years,Yes,"chatbots, predictive analytics, machine learning, natural language processing",neutral,"Increased efficiency, Improved accuracy, Enhanced employee experience, better decision making",integration with existing systems,Yes,"resume screening, candidate matching, interview scheduling, predictive analytics for candidate success",somewhat effective,"faster time-to-hire, improved candidate  quality, reduced bias, increased efficiency",Yes,"predective analytics for employee performance, automated feedback and coaching, Performance metrics tracking, succession planning",very effective,enhanced manager-employee relationships,10.0,neutral,better user interface,,,,,,,
01/06/2024 07:15:21,18-24,Prefer not to say,HR generalist,Electronics,1-2 years,Yes,natural language processing,very low,Improved accuracy,lack of transparency,Yes,interview scheduling,neutral,increased efficiency,Yes,automated feedback and coaching,somewhat effective,enhanced manager-employee relationships,4.0,neutral,more advanced analytics,,,,,,,
01/06/2024 07:16:14,25-34,Female,HR generalist,Food services,2-5 years,Yes,predictive analytics,somewhat high,Improved accuracy,data privacy concerns,Yes,interview scheduling,somewhat ineffective,reduced bias,Yes,Performance metrics tracking,neutral,enhanced manager-employee relationships,10.0,neutral,increased transparency,,,,,,,
01/06/2024 07:20:30,45-54,male,HR generalist,Automotive,1-2 years,Yes,"predictive analytics, machine learning, natural language processing",neutral,"Increased efficiency, Improved accuracy, Enhanced employee experience",data privacy concerns,Yes,"resume screening, candidate matching, interview scheduling, predictive analytics for candidate success",somewhat effective,reduced bias,Yes,"predective analytics for employee performance, automated feedback and coaching, Performance metrics tracking, succession planning",neutral,enhanced manager-employee relationships,9.0,neutral,more advanced analytics,,,,,,,
01/06/2024 07:23:00,55 or older,Female,Training and development manager,Textiles,,,"chatbots, predictive analytics, machine learning, natural language processing",neutral,Improved accuracy,lack of transparency,Yes,interview scheduling,neutral,reduced bias,Yes,Performance metrics tracking,neutral,,9.0,neutral,more advanced analytics,,,,,,,
01/06/2024 07:24:06,45-54,Female,Recruitment specialist,Electronics,5-10 years,No,,,,,No,,,,No,,,,10.0,,,,,,,,,
01/06/2024 07:25:26,45-54,Female,HR generalist,Food services,5-10 years,Yes,"chatbots, predictive analytics, machine learning, natural language processing",very high,Enhanced employee experience,lack of transparency,Yes,"resume screening, candidate matching, interview scheduling, predictive analytics for candidate success",very effective,reduced bias,Yes,predective analytics for employee performance,very effective,improved employee development,10.0,very satisfied,increased transparency,,,,,,,
01/06/2024 07:26:45,55 or older,Female,Training and development manager,Automotive,5-10 years,Yes,machine learning,very high,better decision making,integration with existing systems,Yes,predictive analytics for candidate success,very effective,reduced bias,Yes,succession planning,very effective,better data-driven decisions,8.0,very satisfied,integration with other HR systems,,,,,,,
01/06/2024 07:27:39,35-44,Female,HR generalist,Food processing,Less than 1 year,Yes,,somewhat high,better decision making,,Yes,interview scheduling,very effective,increased efficiency,Yes,Performance metrics tracking,very effective,"improved employee development, enhanced manager-employee relationships, increased transparency, better data-driven decisions",7.0,very satisfied,better user interface,,,,,,,
01/06/2024 07:28:39,45-54,Prefer not to say,Recruitment specialist,Textiles,5-10 years,Yes,machine learning,neutral,Improved accuracy,lack of transparency,Yes,resume screening,very effective,improved candidate  quality,Yes,predective analytics for employee performance,somewhat effective,improved employee development,10.0,very satisfied,increased transparency,,,,,,,
01/06/2024 07:29:25,18-24,male,HR generalist,Electronics,1-2 years,Yes,"chatbots, predictive analytics, machine learning, natural language processing",somewhat high,better decision making,lack of transparency,Yes,resume screening,very effective,faster time-to-hire,Yes,predective analytics for employee performance,very effective,improved employee development,10.0,very satisfied,"increased transparency, better user interface, more advanced analytics, integration with other HR systems",,,,,,,
01/06/2024 08:20:09,18-24,Female,HR manager,Automotive,2-5 years,Yes,natural language processing,neutral,Improved accuracy,data privacy concerns,No,,,faster time-to-hire,No,,,improved employee development,4.0,somewhat satisfied,more advanced analytics,,,,,,,
01/06/2024 22:38:16,18-24,male,,,,,,,,,,,,,,,,,,,,,,,,,,
